TOPOID	GENEID	QVALUE
9	ENSG00000000005	0.85253009149322
9	ENSG00000000457	0.00103730479429449
9	ENSG00000000460	0.987650008255751
9	ENSG00000000971	0.55166022072448
9	ENSG00000001084	0.795620122359212
9	ENSG00000001167	0.979490013653651
9	ENSG00000001460	0.972380018319702
9	ENSG00000001461	0.82807010508295
9	ENSG00000001497	0.290190241501729
9	ENSG00000001626	0.0958291511702113
9	ENSG00000001629	0.0160380445846654
9	ENSG00000001630	0.0161420448035967
9	ENSG00000001631	0.666530181879475
9	ENSG00000002016	0.864250084813573
9	ENSG00000002549	0.736660151444095
9	ENSG00000002746	0.994310003816484
9	ENSG00000003096	0.219810224000421
9	ENSG00000003393	0.208310219810724
9	ENSG00000003400	0.998050001310393
9	ENSG00000003987	0.161780198220898
9	ENSG00000003989	0.19038021241687
9	ENSG00000004139	0.998670000894033
9	ENSG00000004399	0.998510001001506
9	ENSG00000004487	0.0145180413315346
9	ENSG00000004534	0.67777017732258
9	ENSG00000004660	0.988400007757339
9	ENSG00000004700	0.0344580780648194
9	ENSG00000004766	0.897810065100044
9	ENSG00000004777	0.00100280465765538
9	ENSG00000004809	0.681310175861338
9	ENSG00000004846	0.366690247453895
9	ENSG00000004864	0.47071023858066
9	ENSG00000004897	0.297570242616732
9	ENSG00000004939	0.768610136061726
9	ENSG00000004948	0.996040002658424
9	ENSG00000004975	0.39412024684013
9	ENSG00000005007	0.81524011201774
9	ENSG00000005108	0.803510118239163
9	ENSG00000005156	0.944720036136991
9	ENSG00000005206	0.806830116489898
9	ENSG00000005238	0.9725100182347
9	ENSG00000005339	0.474880237876884
9	ENSG00000005379	0.917260053286561
9	ENSG00000005381	0.0571901100744134
9	ENSG00000005421	0.0860801420033764
9	ENSG00000005436	0.890850069258845
9	ENSG00000005471	0.309950244212155
9	ENSG00000005483	0.0102080314798116
9	ENSG00000005700	0.997370001766748
9	ENSG00000005810	0.125310175067702
9	ENSG00000005844	0.103800158165683
9	ENSG00000005884	0.716180160816411
9	ENSG00000005889	0.268070237390058
9	ENSG00000005961	0.78191012939289
9	ENSG00000006062	0.818960110020916
9	ENSG00000006071	0.856240089390412
9	ENSG00000006114	0.310790244308204
9	ENSG00000006118	0.354100247279396
9	ENSG00000006128	0.897870065064034
9	ENSG00000006283	0.00327961261860108
9	ENSG00000006432	0.98273001151582
9	ENSG00000006453	0.907540059225315
9	ENSG00000006468	0.943780036733013
9	ENSG00000006607	0.383470247236042
9	ENSG00000006659	0.949010033408867
9	ENSG00000006704	0.0194600515660368
9	ENSG00000006715	0.182790208950601
9	ENSG00000006740	0.984680010225697
9	ENSG00000006788	0.966310022275574
9	ENSG00000006831	0.547200221927863
9	ENSG00000006837	0.765280137707314
9	ENSG00000007001	0.998670000894033
9	ENSG00000007038	0.521190228452134
9	ENSG00000007047	0.0336700768035445
9	ENSG00000007168	0.963990023780772
9	ENSG00000007171	0.974010017253068
9	ENSG00000007174	0.0527931044523744
9	ENSG00000007202	0.00834352686193479
9	ENSG00000007216	0.740330149723806
9	ENSG00000007237	0.623460198141031
9	ENSG00000007264	0.399990246538819
9	ENSG00000007314	0.236070229238142
9	ENSG00000007341	0.129720178210813
9	ENSG00000007350	0.0193480513443739
9	ENSG00000007372	0.137820183723516
9	ENSG00000007908	0.292040241792968
9	ENSG00000007923	5.39049407902749e-12
9	ENSG00000007933	0.00102940476307519
9	ENSG00000008056	0.479010237155581
9	ENSG00000008083	0.313530244610914
9	ENSG00000008086	0.044886093707016
9	ENSG00000008118	0.956870028376685
9	ENSG00000008196	0.205920218887157
9	ENSG00000008197	0.999760000161417
9	ENSG00000008226	0.21210022123756
9	ENSG00000008256	0.996120002604823
9	ENSG00000008300	0.368960247454123
9	ENSG00000008311	0.00171240733714153
9	ENSG00000008838	0.730530154290035
9	ENSG00000008853	0.0214640554611902
9	ENSG00000008869	0.479250237112927
9	ENSG00000009307	0.130970179083222
9	ENSG00000009335	0.99969000020849
9	ENSG00000009413	0.38920024704741
9	ENSG00000009694	0.33609
9	ENSG00000009709	0.99461000361581
9	ENSG00000009724	0.534570225202315
9	ENSG00000009765	0.0829101388664896
9	ENSG00000009790	0.248160232641101
9	ENSG00000009954	0.996200002551218
9	ENSG00000010165	0.0167760461285912
9	ENSG00000010219	0.851830091888759
9	ENSG00000010292	0.123550173784364
9	ENSG00000010322	0.941600038112853
9	ENSG00000010327	0.77624013225468
9	ENSG00000010379	0.883170073805407
9	ENSG00000010438	0.287300241030871
9	ENSG00000010626	0.998670000894033
9	ENSG00000010671	0.617130200365506
9	ENSG00000010803	0.767340136690469
9	ENSG00000010810	0.325010245705683
9	ENSG00000010818	0.985210009874599
9	ENSG00000011007	6.85086540799099e-07
9	ENSG00000011021	0.862520085806323
9	ENSG00000011028	0.0226600577250514
9	ENSG00000011083	6.64795330862028e-06
9	ENSG00000011114	0.655230186332165
9	ENSG00000011376	0.935400042018584
9	ENSG00000011405	0.751540144393667
9	ENSG00000011422	0.763710138479783
9	ENSG00000011426	0.0943861498571738
9	ENSG00000011451	0.657900185291813
9	ENSG00000011454	0.979260013805137
9	ENSG00000011523	0.6992301682758
9	ENSG00000011638	0.730310154391532
9	ENSG00000011677	0.190780212593827
9	ENSG00000012048	0.6777501773308
9	ENSG00000012061	0.981960012024536
9	ENSG00000012124	0.542650223130332
9	ENSG00000012174	0.998670000894033
9	ENSG00000012223	0.560130218372522
9	ENSG00000012232	0.724850156896179
9	ENSG00000012779	0.774290133232466
9	ENSG00000012822	0.620780199088134
9	ENSG00000013016	0.992160005252871
9	ENSG00000013293	0.996070002638324
9	ENSG00000013364	0.409570245922995
9	ENSG00000013374	0.996460002376971
9	ENSG00000013441	0.000170220993672708
9	ENSG00000013503	0.261570235952772
9	ENSG00000013583	0.238770230033494
9	ENSG00000013588	0.996870002102105
9	ENSG00000013619	0.0217380559837047
9	ENSG00000014123	0.958850027102174
9	ENSG00000014138	0.291540241715035
